airport,airport_name
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
ABY,"Albany, GA: Southwest Georgia Regional"
ACK,"Nantucket, MA: Nantucket Memorial"
AEX,"Alexandria, LA: Alexandria International"
AGS,"Augusta, GA: Augusta Regional at Bush Field"
ALB,"Albany, NY: Albany International"
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
ATW,"Appleton, WI: Appleton International"
AUS,"Austin, TX: Austin - Bergstrom International"
AVL,"Asheville, NC: Asheville Regional"
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field"
BGR,"Bangor, ME: Bangor International"
BHM,"Birmingham, AL: Birmingham-Shuttlesworth International"
BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington"
BNA,"Nashville, TN: Nashville International"
BOS,"Boston, MA: Logan International"
BQK,"Brunswick, GA: Brunswick Golden Isles"
BTV,"Burlington, VT: Burlington International"
BUF,"Buffalo, NY: Buffalo Niagara International"
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
CAE,"Columbia, SC: Columbia Metropolitan"
CHA,"Chattanooga, TN: Lovell Field"
CHO,"Charlottesville, VA: Charlottesville Albemarle"
CHS,"Charleston, SC: Charleston AFB/International"
CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
CLE,"Cleveland, OH: Cleveland-Hopkins International"
CLT,"Charlotte, NC: Charlotte Douglas International"
CMH,"Columbus, OH: John Glenn Columbus International"
CRW,"Charleston/Dunbar, WV: Yeager"
CSG,"Columbus, GA: Columbus Airport"
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
CWA,"Mosinee, WI: Central Wisconsin"
DAY,"Dayton, OH: James M Cox/Dayton International"
DCA,"Washington, DC: Ronald Reagan Washington National"
DHN,"Dothan, AL: Dothan Regional"
DLH,"Duluth, MN: Duluth International"
DSM,"Des Moines, IA: Des Moines International"
DTW,"Detroit, MI: Detroit Metro Wayne County"
EVV,"Evansville, IN: Evansville Regional"
EWR,"Newark, NJ: Newark Liberty International"
FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field"
FSD,"Sioux Falls, SD: Joe Foss Field"
GNV,"Gainesville, FL: Gainesville Regional"
GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International"
GRR,"Grand Rapids, MI: Gerald R. Ford International"
GSO,"Greensboro/High Point, NC: Piedmont Triad International"
GSP,"Greer, SC: Greenville-Spartanburg International"
GTR,"Columbus, MS: Golden Triangle Regional"
HPN,"White Plains, NY: Westchester County"
IAD,"Washington, DC: Washington Dulles International"
ILM,"Wilmington, NC: Wilmington International"
IND,"Indianapolis, IN: Indianapolis International"
ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional"
JFK,"New York, NY: John F. Kennedy International"
LAN,"Lansing, MI: Capital Region International"
LEX,"Lexington, KY: Blue Grass"
LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
LGA,"New York, NY: LaGuardia"
MBS,"Saginaw/Bay City/Midland, MI: MBS International"
MCI,"Kansas City, MO: Kansas City International"
MEM,"Memphis, TN: Memphis International"
MGM,"Montgomery, AL: Montgomery Regional"
MKE,"Milwaukee, WI: General Mitchell International"
MLI,"Moline, IL: Quad City International"
MLU,"Monroe, LA: Monroe Regional"
MOB,"Mobile, AL: Mobile Regional"
MSN,"Madison, WI: Dane County Regional-Truax Field"
MSP,"Minneapolis, MN: Minneapolis-St Paul International"
MYR,"Myrtle Beach, SC: Myrtle Beach International"
OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
OMA,"Omaha, NE: Eppley Airfield"
ORD,"Chicago, IL: Chicago O'Hare International"
ORF,"Norfolk, VA: Norfolk International"
ORH,"Worcester, MA: Worcester Regional"
PHL,"Philadelphia, PA: Philadelphia International"
PIT,"Pittsburgh, PA: Pittsburgh International"
PVD,"Providence, RI: Theodore Francis Green State"
PWM,"Portland, ME: Portland International Jetport"
RDU,"Raleigh/Durham, NC: Raleigh-Durham International"
RIC,"Richmond, VA: Richmond International"
ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field"
ROC,"Rochester, NY: Greater Rochester International"
SAV,"Savannah, GA: Savannah/Hilton Head International"
SGF,"Springfield, MO: Springfield-Branson National"
SHV,"Shreveport, LA: Shreveport Regional"
STL,"St. Louis, MO: St Louis Lambert International"
SYR,"Syracuse, NY: Syracuse Hancock International"
TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities"
TVC,"Traverse City, MI: Cherry Capital"
TYS,"Knoxville, TN: McGhee Tyson"
VLD,"Valdosta, GA: Valdosta Regional"
XNA,"Fayetteville, AR: Northwest Arkansas Regional"
ABQ,"Albuquerque, NM: Albuquerque International Sunport"
ANC,"Anchorage, AK: Ted Stevens Anchorage International"
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
BDL,"Hartford, CT: Bradley International"
BOI,"Boise, ID: Boise Air Terminal"
BUR,"Burbank, CA: Bob Hope"
BZN,"Bozeman, MT: Bozeman Yellowstone International"
COS,"Colorado Springs, CO: City of Colorado Springs Municipal"
DEN,"Denver, CO: Denver International"
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
ECP,"Panama City, FL: Northwest Florida Beaches International"
EGE,"Eagle, CO: Eagle County Regional"
ELP,"El Paso, TX: El Paso International"
EUG,"Eugene, OR: Mahlon Sweet Field"
EYW,"Key West, FL: Key West International"
FAT,"Fresno, CA: Fresno Yosemite International"
FCA,"Kalispell, MT: Glacier Park International"
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
GEG,"Spokane, WA: Spokane International"
HNL,"Honolulu, HI: Daniel K Inouye International"
IAH,"Houston, TX: George Bush Intercontinental/Houston"
ICT,"Wichita, KS: Wichita Dwight D Eisenhower National"
JAC,"Jackson, WY: Jackson Hole"
JAX,"Jacksonville, FL: Jacksonville International"
KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole"
LAS,"Las Vegas, NV: McCarran International"
LAX,"Los Angeles, CA: Los Angeles International"
LIH,"Lihue, HI: Lihue Airport"
LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
MCO,"Orlando, FL: Orlando International"
MDT,"Harrisburg, PA: Harrisburg International"
MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
MHT,"Manchester, NH: Manchester-Boston Regional"
MIA,"Miami, FL: Miami International"
MSO,"Missoula, MT: Missoula International"
MSY,"New Orleans, LA: Louis Armstrong New Orleans International"
MTJ,"Montrose/Delta, CO: Montrose Regional"
OGG,"Kahului, HI: Kahului Airport"
OKC,"Oklahoma City, OK: Will Rogers World"
ONT,"Ontario, CA: Ontario International"
PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International"
PDX,"Portland, OR: Portland International"
PHX,"Phoenix, AZ: Phoenix Sky Harbor International"
PNS,"Pensacola, FL: Pensacola International"
PSP,"Palm Springs, CA: Palm Springs International"
RAP,"Rapid City, SD: Rapid City Regional"
RNO,"Reno, NV: Reno/Tahoe International"
RSW,"Fort Myers, FL: Southwest Florida International"
SAN,"San Diego, CA: San Diego International"
SAT,"San Antonio, TX: San Antonio International"
SBA,"Santa Barbara, CA: Santa Barbara Municipal"
SDF,"Louisville, KY: Louisville Muhammad Ali International"
SEA,"Seattle, WA: Seattle/Tacoma International"
SFO,"San Francisco, CA: San Francisco International"
SJC,"San Jose, CA: Norman Y. Mineta San Jose International"
SJU,"San Juan, PR: Luis Munoz Marin International"
SLC,"Salt Lake City, UT: Salt Lake City International"
SMF,"Sacramento, CA: Sacramento International"
SNA,"Santa Ana, CA: John Wayne Airport-Orange County"
SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
STT,"Charlotte Amalie, VI: Cyril E King"
STX,"Christiansted, VI: Henry E. Rohlsen"
TPA,"Tampa, FL: Tampa International"
TUL,"Tulsa, OK: Tulsa International"
TUS,"Tucson, AZ: Tucson International"
VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
ADK,"Adak Island, AK: Adak"
ADQ,"Kodiak, AK: Kodiak Airport"
AKN,"King Salmon, AK: King Salmon Airport"
BET,"Bethel, AK: Bethel Airport"
BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial"
CDV,"Cordova, AK: Merle K Mudhole Smith"
DAL,"Dallas, TX: Dallas Love Field"
DLG,"Dillingham, AK: Dillingham Airport"
FAI,"Fairbanks, AK: Fairbanks International"
GST,"Gustavus, AK: Gustavus Airport"
JNU,"Juneau, AK: Juneau International"
KTN,"Ketchikan, AK: Ketchikan International"
OAK,"Oakland, CA: Metropolitan Oakland International"
OME,"Nome, AK: Nome Airport"
OTZ,"Kotzebue, AK: Ralph Wien Memorial"
PAE,"Everett, WA: Snohomish County"
PSG,"Petersburg, AK: Petersburg James A Johnson"
SCC,"Deadhorse, AK: Deadhorse Airport"
SIT,"Sitka, AK: Sitka Rocky Gutierrez"
WRG,"Wrangell, AK: Wrangell Airport"
YAK,"Yakutat, AK: Yakutat Airport"
BQN,"Aguadilla, PR: Rafael Hernandez"
HYA,"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field"
MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport"
PSE,"Ponce, PR: Mercedita"
BIL,"Billings, MT: Billings Logan International"
BIS,"Bismarck/Mandan, ND: Bismarck Municipal"
BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
DAB,"Daytona Beach, FL: Daytona Beach International"
FAR,"Fargo, ND: Hector International"
GRB,"Green Bay, WI: Green Bay Austin Straubel International"
HOU,"Houston, TX: William P Hobby"
HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field"
JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International"
MDW,"Chicago, IL: Chicago Midway International"
MLB,"Melbourne, FL: Melbourne International"
PSC,"Pasco/Kennewick/Richland, WA: Tri Cities"
TLH,"Tallahassee, FL: Tallahassee International"
BKG,"Branson, MO: Branson Airport"
DRO,"Durango, CO: Durango La Plata County"
GJT,"Grand Junction, CO: Grand Junction Regional"
HRL,"Harlingen/San Benito, TX: Valley International"
ISP,"Islip, NY: Long Island MacArthur"
SWF,"Newburgh/Poughkeepsie, NY: New York Stewart International"
TTN,"Trenton, NJ: Trenton Mercer"
AMA,"Amarillo, TX: Rick Husband Amarillo International"
AZA,"Phoenix, AZ: Phoenix - Mesa Gateway"
BLI,"Bellingham, WA: Bellingham International"
BLV,"Belleville, IL: Scott AFB/MidAmerica"
CAK,"Akron, OH: Akron-Canton Regional"
CKB,"Clarksburg/Fairmont, WV: North Central West Virginia"
ELM,"Elmira/Corning, NY: Elmira/Corning Regional"
FNT,"Flint, MI: Bishop International"
FWA,"Fort Wayne, IN: Fort Wayne International"
GFK,"Grand Forks, ND: Grand Forks International"
GRI,"Grand Island, NE: Central Nebraska Regional"
GTF,"Great Falls, MT: Great Falls International"
HGR,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field"
HTS,"Ashland, WV: Tri-State/Milton J. Ferguson Field"
IAG,"Niagara Falls, NY: Niagara Falls International"
IDA,"Idaho Falls, ID: Idaho Falls Regional"
LCK,"Columbus, OH: Rickenbacker International"
LRD,"Laredo, TX: Laredo International"
MFR,"Medford, OR: Rogue Valley International - Medford"
MOT,"Minot, ND: Minot International"
MRY,"Monterey, CA: Monterey Regional"
OWB,"Owensboro, KY: Owensboro Daviess County Regional"
PBG,"Plattsburgh, NY: Plattsburgh International"
PGD,"Punta Gorda, FL: Punta Gorda Airport"
PIA,"Peoria, IL: General Downing - Peoria International"
PIE,"St. Petersburg, FL: St Pete Clearwater International"
PSM,"Portsmouth, NH: Portsmouth International at Pease"
PVU,"Provo, UT: Provo Municipal"
RFD,"Rockford, IL: Chicago/Rockford International"
SBN,"South Bend, IN: South Bend International"
SCK,"Stockton, CA: Stockton Metropolitan"
SFB,"Sanford, FL: Orlando Sanford International"
SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field"
SPI,"Springfield, IL: Abraham Lincoln Capital"
TOL,"Toledo, OH: Toledo Express"
USA,"Concord, NC: Concord Padgett Regional"
ITO,"Hilo, HI: Hilo International"
LGB,"Long Beach, CA: Long Beach Airport"
PPG,"Pago Pago, TT: Pago Pago International"
ABI,"Abilene, TX: Abilene Regional"
ACT,"Waco, TX: Waco Regional"
ALO,"Waterloo, IA: Waterloo Regional"
BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional"
BRO,"Brownsville, TX: Brownsville South Padre Island International"
CLL,"College Station/Bryan, TX: Easterwood Field"
CMI,"Champaign/Urbana, IL: University of Illinois/Willard"
COU,"Columbia, MO: Columbia Regional"
CRP,"Corpus Christi, TX: Corpus Christi International"
DBQ,"Dubuque, IA: Dubuque Regional"
FSM,"Fort Smith, AR: Fort Smith Regional"
GCK,"Garden City, KS: Garden City Regional"
GGG,"Longview, TX: East Texas Regional"
GRK,"Killeen, TX: Robert Gray AAF"
HHH,"Hilton Head, SC: Hilton Head Airport"
LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional"
LBB,"Lubbock, TX: Lubbock Preston Smith International"
LCH,"Lake Charles, LA: Lake Charles Regional"
LSE,"La Crosse, WI: La Crosse Regional"
MAF,"Midland/Odessa, TX: Midland International Air and Space Port"
MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional"
MQT,"Marquette, MI: Sawyer International"
RST,"Rochester, MN: Rochester International"
SBP,"San Luis Obispo, CA: San Luis County Regional"
SJT,"San Angelo, TX: San Angelo Regional/Mathis Field"
SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal"
STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County"
SWO,"Stillwater, OK: Stillwater Regional"
TXK,"Texarkana, AR: Texarkana Regional-Webb Field"
TYR,"Tyler, TX: Tyler Pounds Regional"
ACY,"Atlantic City, NJ: Atlantic City International"
LBE,"Latrobe, PA: Arnold Palmer Regional"
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional"
LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field"
PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International"
ABR,"Aberdeen, SD: Aberdeen Regional"
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County"
APN,"Alpena, MI: Alpena County Regional"
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field"
BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field"
BFL,"Bakersfield, CA: Meadows Field"
BIH,"Bishop, CA: Bishop Airport"
BJI,"Bemidji, MN: Bemidji Regional"
BRD,"Brainerd, MN: Brainerd Lakes Regional"
BTM,"Butte, MT: Bert Mooney"
CDC,"Cedar City, UT: Cedar City Regional"
CGI,"Cape Girardeau, MO: Cape Girardeau Regional"
CIU,"Sault Ste. Marie, MI: Chippewa County International"
CMX,"Hancock/Houghton, MI: Houghton County Memorial"
CNY,"Moab, UT: Canyonlands Field"
CPR,"Casper, WY: Casper/Natrona County International"
CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field"
DDC,"Dodge City, KS: Dodge City Regional"
DEC,"Decatur, IL: Decatur Airport"
DRT,"Del Rio, TX: Del Rio International"
DVL,"Devils Lake, ND: Devils Lake Regional"
EAR,"Kearney, NE: Kearney Regional"
EAU,"Eau Claire, WI: Chippewa Valley Regional"
EKO,"Elko, NV: Elko Regional"
ESC,"Escanaba, MI: Delta County"
FLG,"Flagstaff, AZ: Flagstaff Pulliam"
FOD,"Fort Dodge, IA: Fort Dodge Regional"
GCC,"Gillette, WY: Gillette Campbell County"
GUC,"Gunnison, CO: Gunnison-Crested Butte Regional"
HDN,"Hayden, CO: Yampa Valley"
HIB,"Hibbing, MN: Range Regional"
HLN,"Helena, MT: Helena Regional"
HYS,"Hays, KS: Hays Regional"
IMT,"Iron Mountain/Kingsfd, MI: Ford"
INL,"International Falls, MN: Falls International Einarson Field"
JLN,"Joplin, MO: Joplin Regional"
JMS,"Jamestown, ND: Jamestown Regional"
JST,"Johnstown, PA: John Murtha Johnstown-Cambria County"
LAR,"Laramie, WY: Laramie Regional"
LBF,"North Platte, NE: North Platte Regional Airport Lee Bird Field"
LBL,"Liberal, KS: Liberal Mid-America Regional"
LWB,"Lewisburg, WV: Greenbrier Valley"
LWS,"Lewiston, ID: Lewiston Nez Perce County"
MCW,"Mason City, IA: Mason City Municipal"
MEI,"Meridian, MS: Key Field"
MKG,"Muskegon, MI: Muskegon County"
OTH,"North Bend/Coos Bay, OR: Southwest Oregon Regional"
PAH,"Paducah, KY: Barkley Regional"
PIB,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional"
PIH,"Pocatello, ID: Pocatello Regional"
PLN,"Pellston, MI: Pellston Regional Airport of Emmet County"
PRC,"Prescott, AZ: Prescott Regional Ernest A Love Field"
PUB,"Pueblo, CO: Pueblo Memorial"
RDD,"Redding, CA: Redding Municipal"
RDM,"Bend/Redmond, OR: Roberts Field"
RHI,"Rhinelander, WI: Rhinelander/Oneida County"
RIW,"Riverton/Lander, WY: Riverton Regional"
RKS,"Rock Springs, WY: Southwest Wyoming Regional"
ROW,"Roswell, NM: Roswell International Air Center"
SAF,"Santa Fe, NM: Santa Fe Municipal"
SCE,"State College, PA: University Park"
SGU,"St. George, UT: St George Regional"
SHD,"Staunton, VA: Shenandoah Valley Regional"
SHR,"Sheridan, WY: Sheridan County"
SLN,"Salina, KS: Salina Regional"
SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial"
SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field"
TBN,"Fort Leonard Wood, MO: Waynesville-St. Robert Regional Forney Field"
TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional"
VCT,"Victoria, TX: Victoria Regional"
VEL,"Vernal, UT: Vernal Regional"
WYS,"West Yellowstone, MT: Yellowstone"
XWA,"Williston, ND: Williston Basin International"
YUM,"Yuma, AZ: Yuma MCAS/Yuma International"
ALW,"Walla Walla, WA: Walla Walla Regional"
EAT,"Wenatchee, WA: Pangborn Memorial"
PUW,"Pullman, WA: Pullman Moscow Regional"
YKM,"Yakima, WA: Yakima Air Terminal/McAllister Field"
GUM,"Guam, TT: Guam International"
SPN,"Saipan, TT: Francisco C. Ada Saipan International"
ILG,"Wilmington, DE: New Castle"
ALS,"Alamosa, CO: San Luis Valley Regional/Bergman Field"
COD,"Cody, WY: Yellowstone Regional"
HOB,"Hobbs, NM: Lea County Regional"
OGS,"Ogdensburg, NY: Ogdensburg International"
STC,"St. Cloud, MN: St. Cloud Regional"
DIK,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional"
LNK,"Lincoln, NE: Lincoln Airport"
OGD,"Ogden, UT: Ogden-Hinckley"
ERI,"Erie, PA: Erie International/Tom Ridge Field"
ATY,"Watertown, SD: Watertown Regional"
PIR,"Pierre, SD: Pierre Regional"
HVN,"New Haven, CT: Tweed New Haven"
CDB,"Cold Bay, AK: Cold Bay Airport"
IPT,"Williamsport, PA: Williamsport Regional"
BFM,"Mobile, AL: Mobile Downtown"
MMH,"Mammoth Lakes, CA: Mammoth Lakes Airport"
UIN,"Quincy, IL: Quincy Regional-Baldwin Field"
PGV,"Greenville, NC: Pitt Greenville"
ISN,"Williston, ND: Sloulin Field International"
ART,"Watertown, NY: Watertown International"
YNG,"Youngstown/Warren, OH: Youngstown-Warren Regional"
IFP,"Bullhead City, AZ: Laughlin/Bullhead International"
FNL,"Fort Collins/Loveland, CO: Northern Colorado Regional"
UST,"St. Augustine, FL: Northeast Florida Regional"
TKI,"Tokeen, AK: Tokeen Airport"
